Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,Belgian Grand Prix,max_verstappen,104.472,118.84943478260868,118.717,116.559,119.765,1.0,1.0,1.0
2021,Belgian Grand Prix,hamilton,104.544,117.60396153846152,119.218,116.229,120.099,3.0,3.0,3.0
2021,Belgian Grand Prix,mick_schumacher,107.529,124.7196111111111,123.973,,,18.0,17.0,16.0
2021,Belgian Grand Prix,sainz,105.517,121.70663333333331,121.184,118.137,,13.0,11.0,10.0
2021,Belgian Grand Prix,russell,106.665,120.3915,119.864,116.95,120.086,2.0,2.0,2.0
2021,Belgian Grand Prix,bottas,104.513,120.6263,119.87,116.295,122.502,8.0,13.0,12.0
2021,Belgian Grand Prix,giovinazzi,105.789,122.56364705882352,122.306,,,16.0,14.0,13.0
2021,Dutch Grand Prix,ricciardo,71.013,88.82929787234042,70.255,69.865,70.166,10.0,10.0,11.0
2021,Dutch Grand Prix,norris,70.781,88.4258,70.489,70.406,,13.0,13.0,10.0
2021,Dutch Grand Prix,vettel,70.872,87.77489743589743,70.731,,,17.0,15.0,13.0
2021,Dutch Grand Prix,latifi,71.083,89.94434,70.093,71.161,,14.0,19.0,16.0
2021,Dutch Grand Prix,,72.206,86.05769047619047,,,,,,
2021,Dutch Grand Prix,mazepin,72.136,90.53368421052632,71.875,,,20.0,18.0,20.0
2021,Dutch Grand Prix,gasly,71.005,88.01718518518518,70.274,69.541,69.478,4.0,4.0,4.0
2021,Dutch Grand Prix,perez,70.526,90.33103773584904,70.53,,,16.0,20.0,8.0
2021,Dutch Grand Prix,alonso,70.67,86.36303921568629,70.435,70.02,69.956,9.0,9.0,6.0
2021,Dutch Grand Prix,leclerc,70.896,88.06184905660378,69.829,69.437,69.527,5.0,5.0,5.0
2021,Dutch Grand Prix,stroll,70.842,85.64347169811322,70.438,70.367,,12.0,12.0,12.0
2021,Dutch Grand Prix,tsunoda,71.98,88.90107692307691,70.462,71.314,,15.0,14.0,19.0
2021,Dutch Grand Prix,ocon,71.074,88.01177049180328,70.179,69.919,69.933,8.0,8.0,9.0
2021,Dutch Grand Prix,max_verstappen,69.623,87.50008695652174,70.036,69.071,68.885,1.0,1.0,1.0
